    0.00000    0.00000
    0.17658    0.17609
    0.52860    0.52418
    1.05373    1.03607
    1.74852    1.69947
    2.60834    2.49797
    3.62742    3.41111
    4.79883    4.41427
    6.11448    5.47879
    7.56513    6.57187
    9.14040    7.65664
   10.82872    8.69210
   12.61740    9.63320
   14.49257   10.43074
   16.43922   11.03146
   18.44118   11.37798
   20.48112   11.40883
   22.54056   11.05844
   24.59987   10.25716
   26.63826    8.93120
   28.63378    7.00272
   30.56333    4.38975
   32.40266    1.00624
   34.12635   -3.23798
