    0.00000    0.00000
    0.12486    0.21578
    0.37377    0.64298
    0.74510    1.27289
    1.23639    2.09244
    1.84437    3.08419
    2.56497    4.22635
    3.39328    5.49279
    4.32359    6.85299
    5.34936    8.27210
    6.46324    9.71090
    7.65706   11.12581
    8.92185   12.46890
   10.24779   13.68788
   11.62428   14.72609
   13.03988   15.52254
   14.48234   16.01186
   15.93858   16.12433
   17.39474   15.78586
   18.83609   14.91803
   20.24714   13.43803
   21.61154   11.25872
   22.91214    8.28858
   24.13098    4.43175
   25.24926   -0.41199
